x,z,label,confidence
119.73336988490607,130.7358363772273,stone wall,0.108
120.84492463111889,131.87240837893222,park bench,0.136
120.84492463111889,131.87240837893222,worm fence snake fence snake-rail fence Virginia fence,0.151
122.56851642420143,130.1892576780846,park bench,0.593
122.86601075409123,130.09463611020004,park bench,0.464
132.84869298796093,135.54817796453622,park bench,0.234
134.09833965870152,136.85506878621865,park bench,0.165
135.67361049500224,138.84434808676588,park bench,0.187
135.47755406042484,139.2317399151405,park bench,0.3
147.12074905998907,144.79771445419797,park bench,0.074
147.12074905998907,144.79771445419797,oxcart,0.151
155.10195081543435,146.60109020555814,park bench,0.331
166.85681274256507,154.59939561879358,park bench,0.204
166.85681274256507,154.59939561879358,stone wall,0.175
162.9211929080598,151.57261866442613,sandbar sand bar,0.097
162.9211929080598,151.57261866442613,park bench,0.145
191.11325588717187,175.62653423517963,park bench,0.169
208.06531818687745,190.2928771465492,park bench,0.228
207.7652665995298,189.5448101690099,park bench,0.214
207.7652665995298,189.5448101690099,lakeside lakeshore,0.232
208.35087864701555,189.93220199659356,park bench,0.416
210.56205426968944,192.50479542891182,park bench,0.1
210.85017198849673,192.7853205459834,park bench,0.225
221.33322434288104,203.1324672147217,park bench,0.864
221.78756382067505,203.7391584399116,park bench,0.5
221.78756382067505,203.7391584399116,lakeside lakeshore,0.072
220.71863003855344,204.66533660321963,park bench,0.186
220.61378246703438,204.90133392345356,stone wall,0.04
220.61378246703438,204.90133392345356,oxcart,0.078
220.61378246703438,204.90133392345356,park bench,0.155
227.74767945435934,211.19422473821348,park bench,0.079
228.6069180922314,212.06251676626533,chainlink fence,0.143
228.6069180922314,212.06251676626533,park bench,0.209
234.68807726456473,219.961747833198,chainlink fence,0.14
234.68807726456473,219.961747833198,oxcart,0.166
234.68807726456473,219.961747833198,park bench,0.218
236.2113505244803,220.7843988702031,park bench,0.2
242.38798065725015,227.32553214940643,park bench,0.297
242.38798065725015,227.32553214940643,horse cart horse-cart,0.048
242.38798065725015,227.32553214940643,chainlink fence,0.216
243.11679914417934,228.01126021248035,park bench,0.318
241.29688397312276,227.5815669780591,park bench,0.254
241.43497589765056,228.20829571087683,park bench,0.111
243.60012087881518,227.74298023961822,park bench,0.084
243.60608781369106,227.6984524435715,park bench,0.256
243.60608781369106,227.6984524435715,oxcart,0.079
245.5845529713608,230.27104587509882,park bench,0.106
245.5845529713608,230.27104587509882,lakeside lakeshore,0.084
246.13436340959137,230.5794008647985,park bench,0.112
